tekst,change
odwo³anie i powo³anie prokurent,2
zawarcie umówiæ o wartoœæ znacz¹cy pomiêdzy,1
zawarcie umówiæ o wartoœæ znacz¹cy,1
zawarcie umówiæ o wartoœæ znacz¹cy,1
zawarcie umówiæ o wartoœæ znacz¹cy pomiêdzy a a a a a,1
zawarcie umowy na dostawa ropa naftowy,1
zawarcie umówiæ o wartoœæ umowy znacz¹cy,1
zmiana w statut,1
treœæ uchwa³a powzi¹æ przez przez,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na w dzieñ dzieñ,1
zawarcie umówiæ o wartoœæ umowy znacz¹cy pomiêdzy a spó³ka kapita³owy kapita³owy,1
i porz¹dek porz¹dek oraz projekt uchwa³a,2
wybór podmiot uprawniony do badanie sprawozdanie finansowy,1
termin i porz¹dek porz¹dek oraz projekt uchwa³a,1
spe³nienie warunek zawieszaæ umowy kredyt na,1
raport okresowy kwartalny skonsolidowaæ skonsolidowaæ skonsolidowaæ,1
zawarcie umówiæ o wartoœæ umowy znacz¹cy pomiêdzy a a a a a,1
zawarcie umówiæ o wartoœæ znacz¹cy pomiêdzy a a a a a,2
zawarcie umowy kredytowy na refinansowanie obecny,1
zawarcie umówiæ o wartoœæ znacz¹cy z kapita³owy biskup,1
zawarcie umówiæ o wartoœæ znacz¹cy pomiêdzy z kapita³owy kapita³owy kapita³owy,2
zawarcie umówiæ o wartoœæ znacz¹cy z z z z z,2
zawarcie umówiæ o wartoœæ znacz¹cy z kapita³owy kapita³owy,1
zawarcie umówiæ o wartoœæ znacz¹cy,1
raport okresowy pó³roczny za za za,2
zawarcie umówiæ o wartoœæ znacz¹cy z z z z z,1
zawarcie umówiæ o wartoœæ znacz¹cy z z z z z,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
treœæ uchwa³a powzi¹æ przez przez,1
powo³anie zarz¹d ósma kadencja,2
projekt uchwa³a wraz z uzasadnienie na na zwo³aæ na na czerwiec czerwiec czerwiec,2
termin i porz¹dek porz¹dek,2
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,2
aneks do umowy znacz¹cy pomiêdzy a kolej kolej z z,2
rekomendacja zarz¹d w sprawa podzia³ zysk netto,1
zawarcie umówiæ o wartoœæ umowy znacz¹cy pomiêdzy a kapita³owy kapita³owy,1
skonsolidowaæ raport kwartalny kwartalny kwartalny,2
zawarcie umówiæ z kapita³owy kapita³owy,2
zawarcie umowy na dostawa ropa naftowy,2
zawarcie umowy na dostawa ropa naftowy pomiêdzy a a a a,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,2
uchwa³a uchwa³a podj¹æ podj¹æ podj¹æ,2
umowy zawrzeæ pomiêdzy a a a a a,2
powo³anie osoba nadzorowaæ do rad nadzorczy,1
odwo³anie osoba nadzorowaæ,1
termin przekazywaæ raport okresowy w w,2
rezygnacja cz³onek rad nadzorczy,2
umowy zawrzeæ pomiêdzy a a a a,1
wdra¿aæ program optymalny ekspansja kapita³owy w w w,2
umowy zawrzeæ z podmiot kapita³owy biskup,2
umowy zawrzeæ z podmiot kapita³owy kapita³owy,1
zawarcie umowy na dostawa ropa naftowy,2
zawarcie umowy na dostawa ropa naftowy,2
umowy zawrzeæ z kapita³owy kapita³owy kapita³owy,1
umowa znacz¹cy z parafina parafina z z,1
aneks do umowy znacz¹cy z z z,1
zawarcie umowy znacz¹cy na sprzeda¿ ciê¿ki olej opa³owy,2
przed³u¿enie umowy na sprzeda¿ paliwo p³ynny przez spó³ka na rzecz rzecz rzecz rzecz z z,2
zawarcie umowy na dostawa ropa naftowy pomiêdzy spó³ka a a a a a,2
rezygnacja cz³onek rad nadzorczy,2
raport okresowy kwartalny skonsolidowaæ skonsolidowaæ skonsolidowaæ,1
zawarcie umowy na dostawa ropa naftowy pomiêdzy a a a a,2
szacunek wybrany czynnik maiæ istotny wp³yw na wynik za za kwarta³ kwarta³ kwarta³,1
umowy zawrzeæ z kapita³owy kapita³owy kapita³owy,2
zmiana w statut,1
raport okresowy pó³roczny za za za,2
przed³u¿enie umowy kredytowy na refinansowanie i finansowaæ zapas spó³ka,2
zawarcie umowy na dostawa ropa naftowy pomiêdzy a a a a a,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na na sierpieñ sierpieñ sierpieñ,2
treœæ uchwa³a podj¹æ przez przez przez sierpieñ sierpieñ sierpieñ,2
odst¹piæ przez w zastêpstwie od rozpatrzenie jedno z planowaæ punkt porz¹dek obrada,2
projekt uchwa³a uchwa³a,1
termin i porz¹dek porz¹dek,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os,1
treœæ uchwa³a powzi¹æ przez przez przez czerwiec czerwiec czerwiec,1
powo³anie rad nadzorczy na na kadencja,1
powo³anie cz³onek rad nadzorczy,1
umowy zawrzeæ z z z z z,2
projekt uchwa³a wraz z uzasadnienie na na zwo³aæ na na czerwiec czerwiec czerwiec,1
termin i porz¹dek porz¹dek,1
raport okresowy kwartalny skonsolidowaæ skonsolidowaæ skonsolidowaæ,2
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,2
zawarcie umowy na dostawa ropa naftowy,2
raport okresowy roczny skonsolidowaæ za za za,1
raport okresowy roczny za za rok,1
zawarcie umowy na dostawa ropa naftowy,1
zawarcie umowy na dostawa ropa naftowy,1
odst¹piæ as as od prawiæ do koncesja poszukiwawczy plac plac,2
raport okresowy kwartalny skonsolidowaæ skonsolidowaæ skonsolidowaæ,2
zawiadomienie o zmniejszenie udzia³ w ogólny liczba g³os na w zastêpstwie,2
transakcja dokonany na akcja przez prokurent,1
termin przekazywaæ raport okresowy w w rok,2
przyznanie as udzia³ w koncesja plac plac,2
rozwi¹zanie spó³ka gaz gaz,1
umowa znacz¹cy na sprzeda¿ paliwo p³ynny do biskup biskup siebie,1
rejestracja w w w akcja seria co,2
dopuœciæ i wprowadzenie do obrót gie³dowy akcja seria co,2
przyjêcie akcja seria co do depozyt papier wartoœciowy przez przez przez,2
umowa znacz¹cy na sprzeda¿ paliwo z z polski polski z z,2
zawarcie umowy na dostawa ropa naftowy,2
do rok rok,2
umowa znacz¹cy z mitsubishi mitsubishi mitsubishi,1
raport okresowy kwartalny skonsolidowaæ skonsolidowaæ skonsolidowaæ,1
raport okresowy pó³roczny za za za,2
powo³anie osoba nadzorowaæ nadzorowaæ informacja uzupe³niaæ,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na na czerwiec czerwiec rok,2
treœæ uchwa³a powzi¹æ przez przez przez czerwiec czerwiec czerwiec,2
powo³anie osoba nadzorowaæ,2
umowa znacz¹cy z z z,1
projekt uchwa³a wraz z uzasadnienie na na zwo³aæ na dzieñ dzieñ czerwiec czerwiec czerwiec,2
termin i porz¹dek porz¹dek,1
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,2
zawarcie umowy na dostawa ropa naftowy,2
raport okresowy kwartalny skonsolidowaæ skonsolidowaæ skonsolidowaæ,2
raport okresowy roczny za za rok,2
raport okresowy roczny skonsolidowaæ za za za,2
asymilacja akcja przez przez przez,1
wprowadzenie do obrót gie³dowy akcja seria a,1
znacz¹cy umowa z z z,1
rezygnacja cz³onek rad nadzorczy,1
realizacja pakiet pakiet przez kapita³owy,1
umowa znacz¹cy z asfalt asfalt z z,1
uzupe³nienie informacja zawrzeæ w raport kwartalny za za kwarta³ kwarta³ kwarta³,2
raport okresowy okresowy,2
powo³anie osoba nadzorowaæ nadzorowaæ informacja uzupe³niaæ,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
treœæ uchwa³a powzi¹æ przez przez przez luty luty luty,2
powo³anie osoba nadzorowaæ,2
odwo³anie osoba nadzorowaæ,2
znaczny pakiet akcja akcja zmiana stan posiadanie akcja przez skarb pañstwo,1
termin przekazywaæ raport okresowy w w rok,2
przyznanie as udzia³ w koncesja plac plac,2
asymilacja akcja przez przez przez,1
wprowadzenie do obrót gie³dowy akcja seria a,1
termin oraz porz¹dek nadzwyczajny walny zgromadzenie zgromadzenie korekta,1
projekt uchwa³a uchwa³a uchwa³a luty luty luty,1
termin oraz porz¹dek porz¹dek,1
akcja seria co co informacja w oparcie o o regulamin regulamin,1
umowa znacz¹cy z biskup polski polski,1
znacz¹cy umowa z z polski polski z z,1
wybór podmiot uprawniony do badanie sprawozdanie finansowy,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na w dzieñ dzieñ grudzieñ grudzieñ grudzieñ,2
treœæ uchwa³a powzi¹æ przez przez,2
zawarcie umowy na dostawa ropa naftowy,2
umowa znacz¹cy na sprzeda¿ paliwo,2
umowa sprzeda¿ gaz p³ynny p³ynny,2
zawarcie umowy na dostawa ropa naftowy,2
zawarcie aneks do umowy,1
przekroczenie przekroczenie ogólny liczba g³os w spó³ka,1
projekt uchwa³a uchwa³a zwo³aæ na na grudzieñ grudzieñ grudzieñ,1
termin oraz porz¹dek porz¹dek,2
raport okresowy okresowy,1
zmiana koncesja oraz przeszacowaæ zasoby z³o¿e bar bar,1
aktualizacja termin publikacja raport okresowy,1
zakup udzia³ w norweski koncesja wydobywczy,2
zawarcie umowy znacz¹cy pomiêdzy paliwo a a a miedŸ trans,2
zakup udzia³ w koncesja poszukiwawczy poszukiwawczy,1
zawarcie umowy znacz¹cy z kolej kolej z z,2
nabycie udzia³ parafina parafina z z przez spó³ka,2
powo³anie prokurent,1
asymilacja akcja przez przez przez,2
projekt uchwa³a uchwa³a zwo³aæ na dzieñ dzieñ dzieñ,2
zmiana oœwiadczenie zarz¹d dotyczyæ zasada ³ad korporacyjny,2
rejestracja zmiana w statut,1
termin oraz porz¹dek porz¹dek,2
objêcie udzia³ w park technologiczny przez,1
odwo³anie osoba nadzorowaæ,2
aktualizacja termin publikacja raport okresowy w w w,2
zakup udzia³ w norweski koncesja poszukiwawczy,2
zawarcie umowy znacz¹cy z tank tank z z,1
dop³ata do kapita³ spó³ka zale¿ny paliwo paliwo z z,2
zmiana warunki umowy znacz¹cy,1
nabycie akcja spó³ka zale¿ny przez przez przez,1
umowa kredytowy z konsorcjum bank,1
powo³anie cz³onek zarz¹d,1
rozwi¹zanie umowy znacz¹cy,1
zawarcie umowy znacz¹cy z biopaliwo biopaliwo z z,2
ocena rad nadzorczy sytuacja spó³ka po po rok,1
podpisaæ umowy kredytowy,1
koncesja na eksploatacja gazowy z³o¿e z³o¿e,2
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,1
wyp³ata dywidenda za za rok,1
podpisaæ aneks do znacz¹cy umowy,1
odwo³anie osoba zarz¹dzaj¹ca,2
objêcie aktyw finansowy o znacz¹cy wartoœæ,2
zasada wyp³at dywidenda,1
objêcie akcja nowa emisja,2
nabycie przez udzia³ w krakowski gaz,2
stanowisko zarz¹d odnoœnie rekomendacja rekomendacja,2
stanowisko zarz¹d odnoœnie wczeœnie opublikowaæ prognoza wynik na na na,1
termin raport okresowy w w rok,1
projekt uchwa³a uchwa³a spó³ka zwo³aæ na dzieñ dzieñ dzieñ,2
objêcie udzia³ park technologiczny technologiczny z z,1
kontrakty spot pomiêdzy z z z z z z,1
projekt uchwa³a uchwa³a spó³ka zwo³aæ na dzieñ dzieñ dzieñ,1
raport okresowy okresowy,2
powo³anie zarz¹d szósta kadencja kadencja informacja uzupe³niaæ,1
zmiana wysokoœæ kapita³ zak³adowy laba laba z z,1
przed³u¿enie koncesja wydaæ na rzecz rzecz rzecz,2
informacja o zastosowaæ zasada ³ad korporacyjny,2
zakoñczenie postêpowanie likwidacyjny spó³ka spó³ka paliwo paliwo z z,2
raport okresowy okresowy,2
zawarcie umówiæ pomiêdzy a a a a,2
nabycie akcja o wartoœæ powy¿ej powy¿ej euro,1
rejestracja zmiana wysokoœæ kapita³ zak³adowy park technologiczny,2
transakcja pomiêdzy podmiot powi¹zaæ,1
zmiana oœwiadczenie oœwiadczenie zasada ³ad korporacyjny,2
rezygnacja osoba nadzorowaæ nadzorowaæ uzupe³nienie informacja,1
stanowisko zarz¹d w sprawa po³¹czenie z partner partner z z,2
akcjonariusz akcjonariusz g³os na na na czerwiec czerwiec rok,2
informacja przekazaæ do publiczny wiadomoœci w rok rok,1
rozszerzyæ zakres dwa koncesja,1
rejestracja podwy¿szenie kapita³ zak³adowy,1
zawarcie umowy znacz¹cy z z polski polski z z,1
akcjonariusz akcjonariusz akcjonariusz g³os na na po wznowienie obrada,1
stanowisko zarz¹d w sprawa po³¹czenie z partner partner z z,2
zmiana struktura kapita³ zak³adowy parafina parafina z z,2
podpisaæ umowy na zakup stacja paliwo paliwo,2
skorygowaæ struktura kapita³ kapita³ park technologiczny technologiczny z z,1
transakcja na akcja spó³ka w rok rok,1
raport okresowy okresowy,2
termin termin oraz treœæ proponowaæ zmiana postanowienie statut,1
skonsolidowaæ raport pó³roczny,1
zawarcie trójstronny umowy znacz¹cy,2
rejestracja przez s¹d podwy¿szenie kapita³ zak³adowy,2
wybór podmiot uprawniony do badanie sprawozdanie finansowy spó³ka,2
otwarcie postêpowanie likwidacyjny wobec wobec paliwo paliwo z z,1
termin oraz porz¹dek porz¹dek,1
ustanowiæ prokurent,1
zbycie przez jas³o udzia³ spó³ka spó³ka,2
korekta prognoza wynik finansowy na na rok,1
rozwi¹zanie znacz¹cy umowy,1
zawarcie umowy znacz¹cy pomiêdzy spó³ka zale¿ny,1
raport roczny,2
korekta sprawozdanie zarz¹d z dzia³alnoœæ spó³ka za rok rok,2
zawarcie umowy znacz¹cy z z polski polski z z,2
objêcie udzia³ w park technologiczny technologiczny z z przez,2
objêcie aktyw finansowy o znacz¹cy wartoœæ przez jas³o jas³o,2
rejestracja zmiana struktura kapita³ zak³adowy ochrona ochrona z z,2
podpisaæ kontrakt,2
treœæ nowe tekst jednolity statut,1
zawarcie trójstronny umowy znacz¹cy,2
powo³anie zarz¹d siódma kadencja,2
podpisaæ kontrakt kontrakt na budowa instalacja instalacja,1
zakoñczenie subskrypcja akcja seria co,1
treœæ uchwa³a powzi¹æ przez przez,1
zmiana porz¹dek obrada,2
termin zwo³anie oraz porz¹dek porz¹dek,2
objêcie akcja w andante andante andante as,1
koncesja na eksploatacja gazowy z³o¿e z³o¿e,2
zmiana porz¹dek obrada obrada zwo³aæ na na kwietni kwietni kwietni,1
nabycie przez udzia³ spó³ka krakowski gaz gaz z z,1
informacja uzupe³niaæ do prognoza wynik finansowy na na na,2
wprowadzenie do obrót gie³dowy akcja seria a spó³ka,2
raport okresowy okresowy,1
umowy zawrzeæ z z polski polski z z,2
korekta skonsolidowaæ raport za iii kwarta³ kwarta³ rok,1
rejestracja zmiana wysokoœæ kapita³ zak³adowy park technologiczny,1
projekt uchwa³a uchwa³a zwo³aæ na na czerwiec czerwiec czerwiec,2
treœæ uchwa³a powzi¹æ przez przez w dzieñ dzieñ kwietni kwietni kwietni,2
powo³anie osoba nadzorowaæ,2
opinia opinia w sprawa ocena sytuacja spó³ka w w rok,2
zmiana kapita³ andante andante andante andante,2
zmiana w sk³ad rad nadzorczy,2
nabycie spó³ka andante andante andante andante,2
nabycie przez udzia³ spó³ka krakowski gaz gaz z z z korekta,1
wybór podmiot uprawniony do badanie sprawozdanie finansowy,1
spe³nienie warunki zawieszaæ umowy znacz¹cy,1
informowaæ,1
powo³anie osoba nadzorowaæ,1
zmiana profil dzia³alnoœæ rafineria rafineria rafineria,2
zawarcie umowy znacz¹cy pomiêdzy a asfalt,2
raport okresowy okresowy,2
kontrakt w rama program kompleksowy rozwój techniczny,2
zmniejszenie udzia³ w ogólny liczba g³os,1
termin raport,2
przyznanie as udzia³ w cztery koncesja poszukiwawczy,1
raport roczny,1
skonsolidowaæ raport roczny,1
zawarcie umowy znacz¹cy,2
wyp³ata dywidenda za za rok,1
ustanowiæ prokurent,1
wprowadzenie do obrót gie³dowy akcja seria a,1
umowa z podmiot powi¹zaæ,1
porz¹dek porz¹dek uzupe³nienie,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
zawarcie umowy na dostawa ropa naftowy,2
rozpoczêcie eksploatacja z³o¿e z³o¿e przez spó³ka spó³ka spó³ka,1
wprowadzenie do obrót gie³dowy akcja seria a,1
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,1
zmiana data publikacja raport okresowy,1
powo³anie osoba nadzorowaæ,2
odwo³anie osoba nadzorowaæ,2
treœæ uchwa³a powzi¹æ przez przez w dzieñ dzieñ maja maja rok,2
skonsolidowaæ raport pó³roczny,2
rezygnacja cz³onek cz³onek kadencja,1
treœæ nowe tekst jednolity statut,1
wprowadzenie do obrót gie³dowy akcja seria a spó³ka,1
skonsolidowaæ raport roczny,1
wp³yw wycena zapas metoda metoda na skonsolidowaæ wynik finansowy,1
skonsolidowaæ raport pó³roczny pó³roczny sprostowanie,1
pakiet pakiet dla kapita³owy,2
projekt uchwa³a uchwa³a zwo³aæ na dzieñ dzieñ dzieñ,2
projekt uchwa³a uchwa³a zwo³aæ na na kwietni kwietni kwietni,2
treœæ uchwa³a powzi¹æ przez przez przez luty luty rok,1
objêcie aktyw finansowy o znacz¹cy wartoœæ,2
zmiana w statut,2
odwo³anie prokurent,2
projekt uchwa³a uchwa³a zwo³aæ na na czerwiec czerwiec czerwiec wraz z uzasadnienie,2
treœæ nowe tekst jednolity statut,1
po³¹czenie oraz partner partner z z,1
podpisaæ kontrakt kontrakt kontrakt,1
oœwiadczenie zarz¹d zarz¹d zasada ³ad korporacyjny w spó³ka,1
powo³anie cz³onek zarz¹d zarz¹d informacja uzupe³niaæ,2
zawarcie umowy znacz¹cy z biskup polski polski z z,2
zawarcie trójstronny umowy,1
termin przekazywaæ raport okresowy w w w,1
opinia opinia w sprawa ocena sytuacja spó³ka w w rok,2
zawarcie umowy znacz¹cy z kolej kolej z z,2
raport okresowy okresowy,2
nabycie znaczny pakiet akcja seria co,1
