tekst,change
umowy zawrzeæ z z z andante andante andante na ³¹czny wartoœæ umowy znacz¹cy,1
nabycie przez laba laba z z z udzia³ spó³ka laboratorium badacz badacz z z,2
informacja o transakcja dokonany na akcja spó³ka,2
nabycie znaczny pakiet akcja,2
zawarcie umowy znacz¹cy,1
zbycie znaczny pakiet akcja spó³ka,1
raport okresowy okresowy,2
termin oraz porz¹dek porz¹dek,1
zawarcie trójstronny umowy znacz¹cy,1
zasada przyjêty odnoœnie konwersja akcja imienny na akcja na okaziciel,2
raport okresowy okresowy,2
rejestracja podwy¿szenie kapita³ zak³adowy,1
zmiana w statut,1
zarejestrowaæ spó³ka zale¿ny,2
rezygnacja osoba nadzorowaæ,1
z³o¿e z³o¿e z³o¿e koncesja na wydobywaæ ropa naftowy i gaz ziemny,1
wybór podmiot uprawniony do badanie sprawozdanie finansowy,1
termin i porz¹dek obrada obrada uzupe³nienie,2
termin oraz porz¹dek porz¹dek,2
raport okresowy okresowy,2
zawarcie umowy znacz¹cy pomiêdzy z z z z,2
remont w rafineria w gdañski w w rok,1
nowa treœæ statut,2
stanowisko zarz¹d odnoœnie sytuacja spó³ka,1
przerwa w produkcja w jas³o jas³o,2
umowa z z z z z,1
raport okresowy okresowy,2
wybór podmiot uprawniony do badanie sprawozdanie finansowy,2
z³o¿e z³o¿e z³o¿e przed³u¿enie koncesja na poszukiwanie i rozpoznanie z³o¿e ropa i gaz,2
termin oraz porz¹dek porz¹dek,1
ustanowiæ prokurent,1
zawarcie umówiæ pomiêdzy a a a a,1
asymilacja akcja przez przez,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
tekst jednolity statut,2
zawarcie umowy znacz¹cy z biskup polski polski,1
po³¹czenie z partner partner z z,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na na maja maja maja,2
treœæ uchwa³a powzi¹æ przez przez przez maja maja maja maja korekta,2
rejestracja przez s¹d podwy¿szenie kapita³ zak³adowy,2
finalizacja zakup udzia³ w norweski koncesja wydobywczy,2
rozszerzyæ skonsolidowaæ raport pó³roczny,1
treœæ uchwa³a powzi¹æ przez przez w dzieñ dzieñ styczeñ styczeñ styczeñ,2
zestawienie rezerwa ropa naftowy oraz gaz ziemny,2
treœæ uchwa³a powzi¹æ przez przez przez czerwiec czerwiec czerwiec,2
zestawienie rezerwa ropa naftowy oraz gaz ziemny,2
podpisaæ umówiæ offsetowy,2
raport okresowy okresowy,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,2
og³oszenie upad³oœæ obejmowaæ likwidacja maj¹tek spó³ka krakowski gaz gaz z z,2
skonsolidowaæ raport pó³roczny pó³roczny sprostowanie,1
skonsolidowaæ raport pó³roczny,1
zmiana w statut,1
zawarcie umowy znacz¹cy z kolej kolej z z,2
nabycie znaczny pakiet akcja seria co,1
nabycie znaczny pakiet akcja,2
og³oszenie upad³oœæ obejmowaæ likwidacja maj¹tek spó³ka krakowski gaz gaz z z,2
zakoñczenie subskrypcja akcja seria co,1
zbycie znaczny pakiet akcja spó³ka,1
nowa treœæ statut,2
rejestracja przez s¹d podwy¿szenie kapita³ zak³adowy,2
rejestracja zmiana w statut,2
umowy zawrzeæ z z z andante andante andante na ³¹czny wartoœæ umowy znacz¹cy,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,2
treœæ uchwa³a powzi¹æ przez przez,1
powo³anie zarz¹d siódma kadencja kadencja uzupe³nienie,2
powo³anie zarz¹d siódma kadencja,2
projekt uchwa³a uchwa³a zwo³aæ na na czerwiec czerwiec czerwiec,2
termin oraz porz¹dek porz¹dek,1
raport okresowy okresowy,2
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,2
powo³anie osoba nadzorowaæ nadzorowaæ informacja uzupe³niaæ,1
wniosek o og³oszenie upad³oœæ spó³ka krakowski gaz gaz z z,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
skonsolidowaæ raport roczny,1
raport roczny,1
treœæ uchwa³a powzi¹æ przez przez w dzieñ dzieñ kwietni kwietni kwietni,2
powo³anie osoba nadzorowaæ,2
projekt uchwa³a uchwa³a zwo³aæ na na kwietni kwietni kwietni,2
zmiana porz¹dek obrada obrada zwo³aæ na na kwietni kwietni kwietni,1
termin oraz porz¹dek porz¹dek,2
aktualizacja termin publikacja raport okresowy w w w,2
zawarcie umowy znacz¹cy z z z z z,1
rezygnacja cz³onek cz³onek kadencja,1
rejestracja podwy¿szenie kapita³ zak³adowy,1
raport okresowy okresowy,2
zawarcie umowy znacz¹cy z z z z,2
pakiet pakiet dla kapita³owy,2
wybrana szacunkowy skonsolidowaæ dane za czwarty kwarta³ kwarta³,1
termin raport,2
objêcie akcja nowa emisja przez przez przez,2
finalizacja zakup udzia³ w norweski koncesja wydobywczy,2
sprzeda¿ znacz¹cy aktyw finansowy przez spó³ka zale¿ny,2
zawarcie umowy znacz¹cy z biskup polski polski,1
zawarcie umowy znacz¹cy z z polski polski z z,2
przyznanie as udzia³ w cztery koncesja poszukiwawczy,1
zawarcie umowy znacz¹cy z z polski polski z z,1
stanowisko zarz¹d odnoœnie sytuacja spó³ka,1
stanowisko zarz¹d odnoœnie rekomendacja rekomendacja,2
zawarcie umowy znacz¹cy z z z z z z,1
raport okresowy okresowy,2
umowy zawrzeæ z z as,1
zakup udzia³ w norweski koncesja wydobywczy,2
zawarcie umowy znacz¹cy z tank tank z z,1
rozszerzyæ zakres dwa koncesja,1
zestawienie rezerwa ropa naftowy oraz gaz ziemny,2
rejestracja podwy¿szenie kapita³ zak³adowy jednostki zale¿ny,2
rozszerzyæ skonsolidowaæ raport pó³roczny,1
rejestracja podwy¿szenie kapita³ zak³adowy,1
finalizacja zakup udzia³ w norweski koncesja wydobywczy,2
objêcie akcja w andante andante andante as,1
zakup udzia³ w norweski koncesja poszukiwawczy,2
rejestracja zmiana w statut,1
treœæ nowe tekst jednolity statut,1
raport okresowy okresowy,2
objêcie aktyw finansowy o znacz¹cy wartoœæ,2
powo³anie osoba nadzorowaæ nadzorowaæ informacja uzupe³niaæ,2
objêcie aktyw finansowy o znacz¹cy wartoœæ,2
rezygnacja cz³onek rad nadzorczy nadzorczy kadencja,1
informowaæ,1
powo³anie osoba nadzorowaæ,1
akcjonariusz akcjonariusz g³os na na na czerwiec czerwiec rok,2
treœæ uchwa³a powzi¹æ przez przez,2
zawarcie umowy znacz¹cy pomiêdzy z z z z,2
powo³anie osoba nadzorowaæ,1
podpisaæ umowy kredytowy,1
nabycie spó³ka andante andante andante andante,2
przed³u¿enie koncesja wydaæ na rzecz rzecz rzecz,2
projekt uchwa³a uchwa³a zwo³aæ na na czerwiec czerwiec czerwiec wraz z uzasadnienie,2
zaktualizowaæ strategia do rok rok,2
nabycie akcja spó³ka zale¿ny przez przez przez,1
zmiana kapita³ andante andante andante andante,2
raport roczny,2
korekta sprawozdanie zarz¹d z dzia³alnoœæ spó³ka za rok rok,2
termin oraz porz¹dek porz¹dek,1
zakup udzia³ w norweski koncesja wydobywczy,2
objêcie akcja nowa emisja,2
raport okresowy okresowy,2
raport roczny,2
skonsolidowaæ raport roczny,2
korekta prognoza wynik finansowy na na rok,1
zawarcie umowy znacz¹cy z biopaliwo biopaliwo z z,2
zmiana data publikacja raport roczny,1
umorzyæ postêpowanie upad³oœciowy upad³oœciowy upad³oœciowy,1
treœæ nowe tekst jednolity statut,1
raport okresowy okresowy,2
akcjonariusz akcjonariusz akcjonariusz g³os na na po wznowienie obrada,1
treœæ uchwa³a powzi¹æ przez przez przez luty luty rok,1
powo³anie prokurent,2
odwo³anie prokurent,2
asymilacja akcja przez przez przez,1
wprowadzenie do obrót gie³dowy akcja seria a,1
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
termin raport okresowy w w rok,1
treœæ uchwa³a powzi¹æ przez przez w dzieñ dzieñ styczeñ styczeñ styczeñ,2
og³oszenie przerwa w obrada obrada spó³ka,1
zawarcie umowy znacz¹cy z biskup polski polski z z,2
projekt uchwa³a uchwa³a zwo³aæ na dzieñ dzieñ dzieñ,2
informacja o zastosowaæ zasada ³ad korporacyjny,2
zbycie przez jas³o udzia³ spó³ka spó³ka,2
informacja o stosowaæ zasada ³ad korporacyjny,1
umowy z z z z z z,1
umowy zawrzeæ z z polski polski z z,2
zawarcie umowy znacz¹cy pomiêdzy biopaliwo a zak³ad zak³ad zak³ad,1
umowa kredytowy z konsorcjum bank,1
rozpoczêcie eksploatacja z³o¿e z³o¿e przez spó³ka spó³ka spó³ka,1
przed³u¿enie siedem koncesja koncesja,2
termin i porz¹dek obrada obrada uzupe³nienie,2
termin termin oraz treœæ proponowaæ zmiana postanowienie statut,1
kontrakty spot pomiêdzy z z z z z z,1
korekta skonsolidowaæ raport za iii kwarta³ kwarta³ rok,1
powo³anie prokurent,1
odwo³anie osoba zarz¹dzaj¹ca,2
raport okresowy okresowy,1
zmiana prognoza skonsolidowaæ wynik finansowy na na rok,1
zawarcie umowy znacz¹cy pomiêdzy biopaliwo biopaliwo z z a a a z z,1
zmniejszenie udzia³ w ogólny liczba g³os,1
zakoñczenie postêpowanie likwidacyjny spó³ka spó³ka paliwo paliwo z z,2
zawarcie umówiæ pomiêdzy a a a a,2
prognoza skonsolidowaæ wynik finansowy na na rok rok korekta,2
prognoza skonsolidowaæ wynik finansowy,2
zarejestrowaæ spó³ka zale¿ny,2
skonsolidowaæ raport pó³roczny,2
korekta skonsolidowaæ raport za ii kwarta³ kwarta³ kwarta³,2
raport okresowy okresowy,2
podpisaæ aneks do znacz¹cy umowy,1
kontrakt w rama program kompleksowy rozwój techniczny,2
nabycie przez udzia³ w krakowski gaz,2
dzieñ wyp³at dywidenda za za rok,2
treœæ nowe tekst jednolity statut,1
po³¹czenie oraz partner partner z z,1
podpisaæ kontrakt kontrakt kontrakt,1
oœwiadczenie zarz¹d zarz¹d zasada ³ad korporacyjny w spó³ka,1
podpisaæ kontrakt,2
realizacja realizacja realizacja podpisaæ kontrakt kontrakt,2
powo³anie osoba nadzorowaæ nadzorowaæ informacja uzupe³niaæ,2
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na na maja maja maja,2
treœæ uchwa³a powzi¹æ przez przez przez maja maja maja maja korekta,2
powo³anie osoba nadzorowaæ,2
odwo³anie osoba nadzorowaæ,2
treœæ uchwa³a powzi¹æ przez przez w dzieñ dzieñ maja maja rok,2
wyp³ata dywidenda za za rok,1
koncesja na eksploatacja gazowy z³o¿e z³o¿e,2
stanowisko zarz¹d w sprawa po³¹czenie z partner partner z z,2
projekt uchwa³a uchwa³a zwo³aæ na dzieñ dzieñ maja maja maja,1
raport okresowy okresowy,2
opinia opinia w sprawa ocena sytuacja spó³ka w w rok,2
wybór podmiot uprawniony do badanie sprawozdanie finansowy,1
wykaz informacja przekazaæ do publiczny wiadomoœci w rok rok,1
porz¹dek porz¹dek uzupe³nienie,2
raport roczny,1
skonsolidowaæ raport roczny,1
termin oraz porz¹dek porz¹dek,1
ustanowiæ prokurent,1
nabycie udzia³ spó³ka tank tank z z,2
nabycie przez udzia³ spó³ka krakowski gaz gaz z z z korekta,1
nabycie przez udzia³ spó³ka krakowski gaz gaz z z,1
rejestracja zmiana struktura kapita³ zak³adowy ochrona ochrona z z,2
przekroczenie przekroczenie przekroczenie liczba g³os przez przez przez polski polski,2
po³¹czenie z partner partner z z,2
raport okresowy okresowy,2
rejestracja zmiana struktura kapita³ zak³adowy park technologiczny,2
skorygowaæ struktura kapita³ kapita³ park technologiczny technologiczny z z,1
transakcja na akcja spó³ka w rok rok,1
zawarcie trójstronny umowy,1
termin przekazywaæ raport okresowy w w w,1
zbycie udzia³ spó³ka przedsiêbiorstwo przedsiêbiorstwo przedsiêbiorstwo przedsiêbiorstwo z z,2
rejestracja zmiana wysokoœæ kapita³ zak³adowy park technologiczny,1
zawarcie umowy znacz¹cy z kolej kolej z z,2
zawarcie umowy znacz¹cy pomiêdzy a asfalt,2
remont w rafineria w gdañski w w rok,1
otwarcie postêpowanie likwidacyjny wobec wobec paliwo paliwo z z,1
objêcie aktyw finansowy o znacz¹cy wartoœæ przez jas³o jas³o,2
ustanowiæ prokurent,1
podpisaæ kontrakt kontrakt na budowa instalacja instalacja,1
raport okresowy okresowy,2
z³o¿e z³o¿e z³o¿e przed³u¿enie koncesja na poszukiwanie i rozpoznanie z³o¿e ropa i gaz,2
umowa z z z z z na dostawa ropa naftowy,2
z³o¿e z³o¿e z³o¿e koncesja na wydobywaæ ropa naftowy i gaz ziemny,1
uzupe³nienie informacja skonsolidowaæ raport pó³roczny pó³roczny pó³roczny,2
powo³anie cz³onek zarz¹d zarz¹d informacja uzupe³niaæ,2
powo³anie cz³onek zarz¹d,1
rozszerzyæ skonsolidowaæ raport pó³roczny,1
prognoza skonsolidowaæ wynik finansowy na na na,2
zawarcie umowy na dostawa ropa naftowy,2
realizacja strategia kapita³owy kapita³owy wejœcie wejœcie na nowe z³o¿e z³o¿e i i,2
raport okresowy okresowy,2
asymilacja akcja przez przez,1
realizacja projekt projekt projekt umowy na zakup reaktor,1
treœæ uchwa³a powzi¹æ przez przez przez czerwiec czerwiec czerwiec,2
powo³anie zarz¹d szósta kadencja,1
rezygnacja osoba nadzorowaæ nadzorowaæ uzupe³nienie informacja,1
ocena rad nadzorczy sytuacja spó³ka po po rok,1
projekt uchwa³a uchwa³a spó³ka zwo³aæ na dzieñ dzieñ dzieñ,2
przerwa w produkcja w jas³o jas³o,2
wybór podmiot uprawniony do badanie sprawozdanie finansowy,2
termin oraz porz¹dek porz¹dek,2
zmiana oœwiadczenie zarz¹d dotyczyæ zasada ³ad korporacyjny,2
raport okresowy okresowy,2
informacja przekazaæ do publiczny wiadomoœci w rok rok,1
korekta raport bie¿¹cy numer numer,1
skonsolidowaæ raport roczny,1
wp³yw wycena zapas metoda metoda na skonsolidowaæ wynik finansowy,1
raport roczny,1
korekta wczeœnie opublikowaæ prognoza wynik na na rok,1
zmiana data publikacja raport okresowy,1
zawarcie umowy na dostawa wsad,2
asymilacja akcja przez przez przez,1
wprowadzenie do obrót gie³dowy akcja seria a spó³ka,1
rejestracja zmiana wysokoœæ kapita³ zak³adowy park technologiczny,2
zawarcie trójstronny umowy znacz¹cy,2
raport okresowy okresowy,2
tekst jednolity statut,2
zmiana struktura kapita³ zak³adowy parafina parafina z z,2
zawarcie trójstronny umowy znacz¹cy,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
zawarcie trójstronny umowy,1
zmiana wysokoœæ kapita³ zak³adowy park technologiczny,2
objêcie udzia³ w park technologiczny technologiczny z z przez,2
informacja o transakcja dokonany na akcja spó³ka,2
zmiana w sk³ad rad nadzorczy,2
informacja o transakcja dokonany na akcja spó³ka,1
projekt uchwa³a uchwa³a spó³ka zwo³aæ na dzieñ dzieñ dzieñ,1
termin raport okresowy w w rok,1
zasada przyjêty odnoœnie konwersja akcja imienny na akcja na okaziciel,2
nabycie przez serwis serwis z z udzia³ spó³ka,1
objêcie udzia³ w park technologiczny przez,1
zawarcie trójstronny umowy znacz¹cy,2
zmiana warunki umowy znacz¹cy,1
termin zwo³anie oraz porz¹dek porz¹dek,2
nabycie udzia³ parafina parafina z z przez spó³ka,2
zawarcie umowy przyrzec,1
spe³nienie warunki zawieszaæ umowy znacz¹cy,1
informacja uzupe³niaæ do prognoza wynik finansowy na na na,2
asymilacja akcja przez przez przez,2
wprowadzenie do obrót gie³dowy akcja seria a spó³ka,2
znacz¹cy umowa pomiêdzy paliwo paliwo z z a a a z z,1
nabycie akcja akcja,1
raport okresowy okresowy,1
stanowisko zarz¹d odnoœnie wczeœnie opublikowaæ prognoza wynik na na na,1
dop³ata do kapita³ spó³ka zale¿ny paliwo paliwo z z,2
zawarcie umowy znacz¹cy pomiêdzy paliwo a a a miedŸ trans,2
zawarcie umowy znacz¹cy pomiêdzy a paliwo,1
jednolity tekst statut spó³ka,1
wypowiedzenie umowy przez spó³ka,2
nabycie przez laba laba z z z udzia³ spó³ka laboratorium badacz badacz z z,2
skonsolidowaæ raport pó³roczny,1
podpisaæ umowy na zakup stacja paliwo paliwo,2
zmiana profil dzia³alnoœæ rafineria rafineria rafineria,2
rozwi¹zanie znacz¹cy umowy,1
zawarcie umowy znacz¹cy pomiêdzy spó³ka zale¿ny,1
zawarcie umowy znacz¹cy,1
transakcja pomiêdzy podmiot powi¹zaæ,1
akcjonariusz posiadaj¹cy co ma³o ma³o g³os na na,1
treœæ uchwa³a podj¹æ przez przez przez sierpieñ sierpieñ rok,1
zawarcie umowy pomiêdzy paliwo paliwo z z z z z z z,1
odwo³anie osoba nadzorowaæ,2
zmiana oœwiadczenie oœwiadczenie zasada ³ad korporacyjny,2
nabycie akcja o wartoœæ powy¿ej powy¿ej euro,1
raport okresowy okresowy,2
projekt uchwa³a uchwa³a zwo³aæ na dzieñ dzieñ dzieñ,2
rozwi¹zanie umowy znacz¹cy,1
zmiana w statut,2
zawarcie umowy znacz¹cy,2
wypowiedzenie umowy przez spó³ka,2
zmiana porz¹dek obrada,2
umowa z z z z z,1
termin oraz porz¹dek porz¹dek,1
umowa z podmiot powi¹zaæ,1
rejestracja przez s¹d podwy¿szenie kapita³ zak³adowy,2
wybór podmiot uprawniony do badanie sprawozdanie finansowy spó³ka,2
podpisaæ umówiæ offsetowy,2
zmiana wysokoœæ kapita³ zak³adowy laba laba z z,1
zasada wyp³at dywidenda,1
zmiana wysokoœæ kapita³ zak³adowy,2
zawarcie umowy znacz¹cy przez spó³ka zale¿ny,2
zawarcie umowy znacz¹cy przez spó³ka zale¿ny,2
